Precinct,RegisteredVoters,HarrisEDay,TrumpEDay,SteinEDay,OliverEDay,WIEDay,TotalEDay,HarrisPct,TrumpPct
Aleppo,1363,306,348,7,6,4,671,0.456035767511177,0.518628912071535
Aspinwall Dist 1,855,342,208,0,2,2,554,0.617328519855596,0.375451263537906
Aspinwall Dist 2,582,226,114,3,2,0,345,0.655072463768116,0.330434782608696
Aspinwall Dist 3,827,339,160,2,3,2,506,0.6699604743083,0.316205533596838
Avalon Ward 1,1115,391,215,2,4,4,616,0.63474025974026,0.349025974025974
Avalon Ward 2 Dist 1,712,242,152,1,5,6,406,0.596059113300493,0.374384236453202
Avalon Ward 2 Dist 2,472,151,90,1,0,0,242,0.62396694214876,0.371900826446281
Avalon Ward 3 Dist 1,335,101,84,1,2,0,188,0.537234042553192,0.446808510638298
Avalon Ward 3 Dist 2,459,119,90,1,4,1,215,0.553488372093023,0.418604651162791
Avalon Ward 3 Dist 3,517,169,73,0,1,0,243,0.695473251028807,0.300411522633745
Baldwin Br Dist 1,613,152,183,1,3,0,339,0.448377581120944,0.539823008849558
Baldwin Br Dist 2,1041,268,299,3,2,3,575,0.466086956521739,0.52
Baldwin Br Dist 3,857,248,261,2,2,1,514,0.482490272373541,0.507782101167315
Baldwin Br Dist 4,798,188,281,3,2,0,474,0.39662447257384,0.592827004219409
Baldwin Br Dist 5,840,213,268,0,1,1,483,0.440993788819876,0.554865424430642
Baldwin Br Dist 6,743,157,245,2,3,3,410,0.382926829268293,0.597560975609756
Baldwin Br Dist 7,833,217,257,2,2,0,478,0.45397489539749,0.53765690376569
Baldwin Br Dist 8,729,164,247,0,4,0,415,0.395180722891566,0.595180722891566
Baldwin Br Dist 9,776,175,234,0,3,0,412,0.424757281553398,0.567961165048544
Baldwin Br Dist 10,1029,224,191,4,3,0,422,0.530805687203792,0.45260663507109
Baldwin Br Dist 11,1308,305,211,4,1,4,525,0.580952380952381,0.401904761904762
Baldwin Br Dist 12,660,172,232,0,2,2,408,0.42156862745098,0.568627450980392
Baldwin Br Dist 13,685,180,256,2,3,4,445,0.404494382022472,0.575280898876405
Baldwin Br Dist 14,614,163,206,2,1,0,372,0.438172043010753,0.553763440860215
Baldwin Br Dist 15,806,181,296,1,2,1,481,0.376299376299376,0.615384615384615
