Precinct,1st Choice,2nd Choice,3rd Choice,Count
MINNEAPOLIS W-10 P-02,Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-13 P-13,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-6 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-3 P-02,Nekima Levy-Pounds,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-6 P-08,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-6 P-04,Jacob Frey,Nekima Levy-Pounds,Aswar Rahman,1
MINNEAPOLIS W-6 P-03,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-10 P-08,Tom Hoch,Betsy Hodges,Aswar Rahman,1
MINNEAPOLIS W-3 P-05,Tom Hoch,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-2 P-05,Raymond Dehn,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-6 P-03,UWI,undervote,undervote,1
MINNEAPOLIS W-13 P-11,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-8 P-02,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-6 P-05,Jacob Frey,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-7 P-08,Jacob Frey,Raymond Dehn,Ronald Lischeid,1
MINNEAPOLIS W-7 P-07,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-10 P-04,Nekima Levy-Pounds,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-6 P-06,Nekima Levy-Pounds,Aswar Rahman,undervote,1
MINNEAPOLIS W-1 P-04,Betsy Hodges,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-8 P-03,Betsy Hodges,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-3 P-08,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-9 P-06,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-13 P-07,Raymond Dehn,Tom Hoch,Aswar Rahman,1
MINNEAPOLIS W-13 P-13,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-3 P-09,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-2 P-02,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-1 P-03,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-3 P-12,David Rosenfeld,Tom Hoch,Ronald Lischeid,1
MINNEAPOLIS W-8 P-02,Betsy Hodges,Jacob Frey,undervote,1
MINNEAPOLIS W-6 P-09,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-7 P-02D,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-7 P-08,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-3 P-06,Raymond Dehn,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-1 P-03,Betsy Hodges,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-9 P-02,Nekima Levy-Pounds,Raymond Dehn,undervote,1
MINNEAPOLIS W-12 P-12,Jacob Frey,Betsy Hodges,undervote,1
MINNEAPOLIS W-13 P-05,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-3 P-12,Betsy Hodges,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-5 P-09,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-6 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-10 P-06,Raymond Dehn,Nekima Levy-Pounds,David Rosenfeld,1
MINNEAPOLIS W-10 P-07,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-08,Nekima Levy-Pounds,Betsy Hodges,Aswar Rahman,1
MINNEAPOLIS W-10 P-02,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-7 P-08,Betsy Hodges,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-3 P-05,Jacob Frey,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-5 P-03,Nekima Levy-Pounds,Al Flowers,Betsy Hodges,1
MINNEAPOLIS W-6 P-02,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-9 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-7 P-08,Jacob Frey,Tom Hoch,Captain Jack Sparrow,1
MINNEAPOLIS W-2 P-11,Raymond Dehn,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-7 P-05,Jacob Frey,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-1 P-07,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-1 P-03,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-3 P-12,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-9 P-02,Raymond Dehn,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-3 P-09,Raymond Dehn,Tom Hoch,undervote,1
MINNEAPOLIS W-3 P-02,Raymond Dehn,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-9 P-01,Tom Hoch,Jacob Frey,Aswar Rahman,1
MINNEAPOLIS W-3 P-09,Betsy Hodges,Raymond Dehn,undervote,1
MINNEAPOLIS W-6 P-02,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-3 P-05,Jacob Frey,Tom Hoch,Aswar Rahman,1
MINNEAPOLIS W-6 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,Betsy Hodges,Gregg A. Iverson,Jacob Frey,1
MINNEAPOLIS W-10 P-01,Betsy Hodges,Betsy Hodges,Betsy Hodges,1
MINNEAPOLIS W-8 P-05,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-11 P-04,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-5 P-05,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-7 P-08,Tom Hoch,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-6 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-6 P-04,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-7 P-05,Captain Jack Sparrow,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-6 P-04,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-8 P-07,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-6 P-09,Betsy Hodges,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-8 P-06,Betsy Hodges,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-7 P-06,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-3 P-06,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-4 P-05,Al Flowers,Al Flowers,Raymond Dehn,1
MINNEAPOLIS W-2 P-01,Tom Hoch,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-7 P-06,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-13 P-09,Tom Hoch,Jacob Frey,Aswar Rahman,1
MINNEAPOLIS W-2 P-11,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-13 P-05,Tom Hoch,Jacob Frey,undervote,1
